scenario,final_value,max_value,min_value
777,86480.01,86480.01,1000.00
778,86602.84,86602.84,1000.00
779,86725.71,86725.71,1000.00
780,86848.61,86848.61,1000.00
781,86971.55,86971.55,1000.00
782,87094.54,87094.54,1000.00
783,87217.56,87217.56,1000.00
784,87340.62,87340.62,1000.00
785,87463.72,87463.72,1000.00
786,87586.85,87586.85,1000.00
787,87710.03,87710.03,1000.00
788,87833.25,87833.25,1000.00
789,87956.50,87956.50,1000.00
790,88079.79,88079.79,1000.00
791,88203.13,88203.13,1000.00
792,88326.50,88326.50,1000.00
793,88449.91,88449.91,1000.00
794,88573.36,88573.36,1000.00
795,88696.85,88696.85,1000.00
796,88820.37,88820.37,1000.00
797,88943.94,88943.94,1000.00
798,89067.55,89067.55,1000.00
799,89191.19,89191.19,1000.00
800,89314.88,89314.88,1000.00
801,89438.60,89438.60,1000.00
802,89562.36,89562.36,1000.00
803,89686.16,89686.16,1000.00
804,89810.00,89810.00,1000.00
805,89933.88,89933.88,1000.00
806,90057.80,90057.80,1000.00
807,90181.76,90181.76,1000.00
808,90305.75,90305.75,1000.00
809,90429.79,90429.79,1000.00
810,90553.86,90553.86,1000.00
811,90677.98,90677.98,1000.00
812,90802.13,90802.13,1000.00
813,90926.32,90926.32,1000.00
814,91050.56,91050.56,1000.00
815,91174.83,91174.83,1000.00
816,91299.14,91299.14,1000.00
817,91423.49,91423.49,1000.00
818,91547.88,91547.88,1000.00
819,91672.31,91672.31,1000.00
820,91796.77,91796.77,1000.00
821,91921.28,91921.28,1000.00
822,92045.83,92045.83,1000.00
823,92170.41,92170.41,1000.00
824,92295.04,92295.04,1000.00
825,92419.70,92419.70,1000.00
826,92544.40,92544.40,1000.00
827,92669.15,92669.15,1000.00
828,92793.93,92793.93,1000.00
829,92918.75,92918.75,1000.00
830,93043.61,93043.61,1000.00
831,93168.51,93168.51,1000.00
832,93293.45,93293.45,1000.00
833,93418.43,93418.43,1000.00
834,93543.45,93543.45,1000.00
835,93668.51,93668.51,1000.00
836,93793.61,93793.61,1000.00
837,93918.75,93918.75,1000.00
838,94043.92,94043.92,1000.00
839,94169.14,94169.14,1000.00
840,94294.40,94294.40,1000.00
841,94419.69,94419.69,1000.00
842,94545.03,94545.03,1000.00
843,94670.40,94670.40,1000.00
844,94795.81,94795.81,1000.00
845,94921.27,94921.27,1000.00
846,95046.76,95046.76,1000.00
847,95172.30,95172.30,1000.00
848,95297.87,95297.87,1000.00
849,95423.48,95423.48,1000.00
850,95549.13,95549.13,1000.00
851,95674.82,95674.82,1000.00
852,95800.55,95800.55,1000.00
853,95926.33,95926.33,1000.00
854,96052.14,96052.14,1000.00
855,96177.99,96177.99,1000.00
856,96303.88,96303.88,1000.00
857,96429.81,96429.81,1000.00
858,96555.78,96555.78,1000.00
859,96681.78,96681.78,1000.00
860,96807.83,96807.83,1000.00
861,96933.92,96933.92,1000.00
862,97060.05,97060.05,1000.00
